DATE,PRACTICE SPANISH,PLAY UKULELE,SWIM,BIKE,RUN
2024-01-03,75.0,15.0,0.0,0.0,0.0
2024-01-04,60.0,20.0,0.0,0.0,0.0
2024-01-05,15.0,0.0,0.0,0.0,0.0
2024-01-06,15.0,10.0,0.0,0.0,0.0
2024-01-07,15.0,0.0,0.0,0.0,0.0
2024-01-08,50.0,15.0,0.0,0.0,0.0
2024-01-09,0.0,0.0,0.0,0.0,0.0
2024-01-10,0.0,20.0,0.0,0.0,0.0
2024-01-11,0.0,0.0,0.0,0.0,0.0
2024-01-12,0.0,30.0,0.0,0.0,0.0
2024-01-13,15.0,0.0,0.0,0.0,0.0
2024-01-14,0.0,0.0,0.0,0.0,0.0
2024-01-15,0.0,0.0,0.0,0.0,0.0
2024-01-16,60.0,0.0,0.0,0.0,0.0
2024-01-17,60.0,0.0,0.0,0.0,0.0
2024-01-18,0.0,0.0,0.0,0.0,0.0
2024-01-19,0.0,30.0,0.0,0.0,0.0
2024-01-20,0.0,20.0,0.0,0.0,0.0
2024-01-21,0.0,0.0,0.0,0.0,0.0
2024-01-22,10.0,40.0,0.0,0.0,0.0
2024-01-23,25.0,30.0,0.0,0.0,0.0
2024-01-24,20.0,0.0,0.0,0.0,0.0
2024-01-25,0.0,30.0,0.0,0.0,0.0
2024-01-26,50.0,30.0,0.0,0.0,0.0
2024-01-27,5.0,45.0,0.0,30.0,0.0
2024-01-28,35.0,30.0,0.0,0.0,87.0
2024-01-29,50.0,0.0,0.0,0.0,0.0
2024-01-30,40.0,0.0,0.0,0.0,0.0
2024-01-31,40.0,20.0,0.0,0.0,0.0
2024-02-01,80.0,5.0,0.0,0.0,0.0
2024-02-02,5.0,20.0,0.0,0.0,0.0
2024-02-03,0.0,20.0,0.0,0.0,0.0
2024-02-04,30.0,0.0,0.0,0.0,0.0
2024-02-05,25.0,0.0,0.0,0.0,0.0
2024-02-06,0.0,0.0,0.0,0.0,0.0
2024-02-07,0.0,0.0,0.0,0.0,0.0
2024-02-08,0.0,0.0,0.0,0.0,0.0
2024-02-09,25.0,0.0,0.0,0.0,0.0
2024-02-10,5.0,0.0,0.0,0.0,0.0
2024-02-11,5.0,0.0,0.0,0.0,0.0
2024-02-12,0.0,45.0,0.0,0.0,0.0
2024-02-13,0.0,30.0,0.0,0.0,0.0
2024-02-14,0.0,5.0,0.0,0.0,0.0
2024-02-15,0.0,40.0,0.0,0.0,0.0
2024-02-16,0.0,30.0,0.0,0.0,0.0
2024-02-17,5.0,15.0,0.0,0.0,0.0
2024-02-18,5.0,60.0,0.0,0.0,0.0
2024-02-19,0.0,40.0,0.0,0.0,0.0
2024-02-20,0.0,10.0,0.0,0.0,0.0
2024-02-21,60.0,0.0,0.0,0.0,0.0
2024-02-22,0.0,35.0,0.0,0.0,0.0
2024-02-23,0.0,35.0,0.0,0.0,0.0
2024-02-24,0.0,5.0,0.0,0.0,0.0
2024-02-25,0.0,10.0,0.0,0.0,0.0
2024-02-26,0.0,70.0,0.0,0.0,0.0
2024-02-27,0.0,56.0,0.0,0.0,0.0
2024-02-28,80.0,15.0,0.0,0.0,0.0
2024-02-29,0.0,15.0,0.0,0.0,0.0
2024-03-01,5.0,20.0,0.0,0.0,0.0
2024-03-02,5.0,15.0,45.0,0.0,0.0
2024-03-03,0.0,5.0,0.0,0.0,0.0
