race_name,location,date,time,result,notes
Firecracker Triathlon,St. Joe MI,7/6/2008,6:30/39:06/27:08/T-5:08/Total-1:17:52,239/381,
Niles Triathlon,Niles MI,8/30/2008,18:04/1:11:36/56:59/Total-2:26:39,48/98,
Firecracker Triathlon,St. Joe MI,7/5/2009,6:44/37:38/20:43/T-2:40/Total-1:07:42,44/302,
Steelhead 70.3,St. Joe MI,8/1/2009,34:42/2:41:40/2:07:53/T-4:28/Total-5:28:41,461/1690,
Ironman Wisconsin,Madison WI,9/13/2009,1:15:29/6:07:54/5:52:45/T-10:52/Total-13:26:59,1200/2176,
Kilometers for Cam 5k,St. Joe MI,9/26/2009,19:11,2/226,
St. Anthonys Triathlon,St. Petersberg FL,4/24/2010,25:54/1:15:11/41:02/T-3:40/Total-2:25:46,340/3198,
Evergreen Triathlon,Normal IL,???,DNF Bike,0,
Kilometers for Cam 5k,St. Joe MI,9/25/2010,18:23,3/110,
Detroit Marathon,Detroit MI,10/17/2010,3:21:55,258/3258,
Grand Mere Grind 10k Trail Run,Stevensville MI,11/7/2010,52:42,6/91,
Spud Run 5k,St. Joe MI,3/26/2011,20:58,2/36,
Kalamazoo Half Marathon,Kalamazoo MI,5/8/2011,1:39:23,125/2066,
Howell Independence Aquathlon,Howell MI,7/3/2011,33:03,9/114,
Kilometers for Cam 5k,St. Joe MI,9/24/2011,19:10,2/173,
Run for the Buds 5k,St. Joe MI,5/4/2013,18:37,7/238,
Fifth Third River Bank Run 25k,Grand Rapids MI,5/11/2013,1:48:12,298/5376,
Lory's Place Run Walk Rock,St. Joe MI,5/18/2013,33:53,432/586,with a friend
F3 Half Marathon,Chicago IL,1/25/2014,1:48:01,209/1367,
Motor City Triathlon,Detroit MI,6/15/2014,23:16/1:01:05/42:28/T-1:43/Total-2:08:31,11/155,
3 Disciplines Festival of Races Half Iron,Tawas MI,9/6/2014,35:19/2:45:26/2:24:52/T-4:03/Total-5:49:38,41/100,Bike brake broke
Ice Fest 5k Chocolate Run,St Joe MI,2/7/2015,25:14,30/172,
Run for the Buds 5k,St Joe MI,5/2/2015,20:52,15/191,
Lory's Place Run Walk Rock,St. Joe MI,5/16/2015,20:18,18/581,
Howell Independence Aquathlon,Howell MI,7/5/2015,23:01,4/74,
Sister Lakes Triathlon,Sister Lakes MI,7/18/2015,17:23/55:22/43:51/T-1:25/Total-1:57:58,3/121,Short Bike
Detroit Marathon,Detroit MI,10/18/2015,4:32:42,1913/3802,
Ice Fest 5k,St. Joe MI,2/6/2016,21:06,7/189,
Bad Bunny 5k,Shelby Township MI,3/20/2016,22:49,3/152,
Sister Lakes Triathlon, Sister Lakes MI,7/16/2016,18:50/1:18:41/59:09/T-1:54/Total-2:38:32,52/120,
Ice Fest 5k Chocolate Run,St Joe MI,5/4/2017,23:05,22/220,
Ice Fest 5k,St Joe MI,2/3/2018,24:24,14/211,
Race to Wrigley,Chicago IL,5/6/2018,35:07,3110/8509,with friend
Steelhead 70.3,St Joe MI,8/12/2018,38:34/2:52:42/2:32:30/Total-6:09:47,686/1508,
Chicago Half Marathon,Chicago IL,9/23/2018,2:40:55,6327/9677,with friend
Hot Chocolate 15k,Chicago IL,10/4/2018,1:14:43,711/12805,
F3 Half Marathon,Chicago IL,1/26/2019,2:04:13,777/2448,
Ice Fest 5k,St Joe MI,2/2/2019,25:33,17/110,
Big Shoulders 5k,Chicago IL,9/7/2019,1:59:58,152/174,swim
Prospect Park Half Marathon,Brooklyn NY,9/15/2019,1:57:51,43/114,
Run the Runway,Wheeling IL,8/21/2021,21:17,12/305,
Ravenswood Run,Chicago IL,4/30/2023,33:08,629/1272,with friend
Chicagoland Spring Half Marathon,Schaumburg IL,5/7/2023,1:45:49,78/725,
Lake Mills Triathlon,Lake Mills WI,6/4/2023,8:47/48:37/23:03/T-3:26/Total-1:23:53,102/544,
Green Lake Triathlon,Green Lake WI,7/16/2023,26:37/1:05:36/46:32/T-3:19/Total-2:22:04,24/179,
Madison Marathon,Madison WI,11/12/2023,4:29:29,
